"v94_trade_seq","entry","exit","signal_side","structural_case_v2","force","entry_price","exit_price","pnl","regime","dir_eff","vol_r","equity","dd"
1,"2025-09-24 14:September:20","2025-09-24 14:September:40","LONG","LONG_P9900_SUPPORT_THIN_OFFER",0.9545,24808.5,24816.5,8,"TREND_DOWN",0.543,1.07,8,0
2,"2025-09-24 16:September:39","2025-09-24 16:September:35","SHORT","SHORT_P9990_RESISTANCE_THIN_BID",1,24651.5,24643.5,8,"TREND_DOWN",0.543,1.07,16,0
3,"2025-09-24 16:September:49","2025-09-24 16:September:02","LONG","LONG_P9990_SUPPORT_THIN_OFFER",1,24632.5,24633,0.5,"TREND_DOWN",0.543,1.07,16.5,0
4,"2025-09-24 18:September:00","2025-09-24 18:September:00","SHORT","SHORT_P9900_RESISTANCE_THIN_BID",0.9556,24714.5,24698,16.5,"TREND_DOWN",0.543,1.07,33,0
5,"2025-09-25 17:September:57","2025-09-25 17:September:57","SHORT","SHORT_P9900_RESISTANCE_THIN_BID",1,24591.75,24587.5,4.25,"RANGE",0.226,1.08,37.25,0
6,"2025-09-25 18:September:17","2025-09-25 18:September:00","LONG","LONG_P9900_SUPPORT_THIN_OFFER",0.96,24491,24495.5,4.5,"RANGE",0.226,1.08,41.75,0
7,"2025-09-29 16:September:08","2025-09-29 16:September:08","LONG","LONG_P9900_SUPPORT_THIN_OFFER",0.9706,24857.25,24859,1.75,"RANGE",0.33,0.8,43.5,0
8,"2025-09-29 16:September:20","2025-09-29 16:September:20","SHORT","SHORT_P9900_RESISTANCE_THIN_BID",1,24846.75,24851,-4.25,"RANGE",0.33,0.8,39.25,-4.25
9,"2025-09-30 14:September:08","2025-09-30 14:September:58","SHORT","SHORT_P9990_RESISTANCE_THIN_BID",0.9778,24821.75,24829.5,-7.75,"RANGE",0.427,0.81,31.5,-12
10,"2025-09-30 17:September:06","2025-09-30 17:September:58","LONG","LONG_P9900_SUPPORT_THIN_OFFER",0.9592,24782.25,24787.25,5,"RANGE",0.427,0.81,36.5,-7
11,"2025-09-30 19:September:45","2025-09-30 19:September:02","LONG","LONG_P9900_SUPPORT_THIN_OFFER",0.9796,24850.25,24856,5.75,"RANGE",0.427,0.81,42.25,-1.25
12,"2025-09-30 19:September:59","2025-09-30 20:September:01","SHORT","SHORT_P9900_RESISTANCE_THIN_BID",1,24897.25,24897.5,-0.25,"RANGE",0.427,0.81,42,-1.5
13,"2025-10-03 17:October:00","2025-10-03 17:October:39","LONG","LONG_P9900_SUPPORT_THIN_OFFER",0.9697,25012.25,25012.25,0,"TREND_DOWN",0.543,1.1,42,-1.5
14,"2025-10-05 22:October:32","2025-10-05 22:October:24","LONG","LONG_P9900_SUPPORT_THIN_OFFER",1,25042.75,25039,-3.75,"",\N,\N,38.25,-5.25
15,"2025-10-06 13:October:00","2025-10-06 13:October:31","LONG","LONG_P9900_SUPPORT_THIN_OFFER",1,25189.75,25203.25,13.5,"RANGE",0.074,0.66,51.75,0
16,"2025-10-06 16:October:51","2025-10-06 16:October:51","SHORT","SHORT_P9900_RESISTANCE_THIN_BID",0.9818,25194,25200.75,-6.75,"RANGE",0.074,0.66,45,-6.75
17,"2025-10-06 19:October:00","2025-10-06 19:October:00","LONG","LONG_P9900_SUPPORT_THIN_OFFER",0.9722,25199.5,25201.25,1.75,"RANGE",0.074,0.66,46.75,-5
18,"2025-10-09 14:October:11","2025-10-09 14:October:11","SHORT","SHORT_P9900_RESISTANCE_THIN_BID",1,25245.75,25229.25,16.5,"RANGE",0.262,0.78,63.25,0
19,"2025-10-09 16:October:32","2025-10-09 16:October:32","SHORT","SHORT_P9900_RESISTANCE_THIN_BID",0.9783,25263.5,25269.75,-6.25,"RANGE",0.262,0.78,57,-6.25
20,"2025-10-09 18:October:06","2025-10-09 18:October:06","SHORT","SHORT_P9900_RESISTANCE_THIN_BID",0.9565,25213,25213.75,-0.75,"RANGE",0.262,0.78,56.25,-7
21,"2025-10-09 19:October:01","2025-10-09 19:October:03","LONG","LONG_P9900_SUPPORT_THIN_OFFER",1,25273.5,25273.75,0.25,"RANGE",0.262,0.78,56.5,-6.75
22,"2025-10-12 22:October:10","2025-10-12 22:October:59","LONG","LONG_P9990_SUPPORT_THIN_OFFER",1,24475,24744.75,269.75,"",\N,\N,326.25,0
23,"2025-10-13 14:October:18","2025-10-13 14:October:18","SHORT","SHORT_P9900_RESISTANCE_THIN_BID",0.9737,24761.5,24759.5,2,"VOL_COMPRESSION",0.616,0.56,328.25,0
24,"2025-10-13 16:October:32","2025-10-13 16:October:43","LONG","LONG_P9900_SUPPORT_THIN_OFFER",1,24923.5,24930,6.5,"VOL_COMPRESSION",0.616,0.56,334.75,0
25,"2025-10-14 01:October:43","2025-10-14 01:October:36","LONG","LONG_P9900_SUPPORT_THIN_OFFER",0.9677,24981.25,24998.5,17.25,"VOL_COMPRESSION",0.616,0.56,352,0
26,"2025-10-14 14:October:27","2025-10-14 14:October:28","LONG","LONG_P9900_SUPPORT_THIN_OFFER",0.9773,24653.5,24650.75,-2.75,"RANGE",0.274,1.16,349.25,-2.75
27,"2025-10-15 13:October:34","2025-10-15 13:October:06","LONG","LONG_P9900_SUPPORT_THIN_OFFER",1,24967.5,24981.25,13.75,"RANGE",0.246,0.9,363,0
28,"2025-10-16 13:October:46","2025-10-16 13:October:47","LONG","LONG_P9900_SUPPORT_THIN_OFFER",1,25118.5,25116.5,-2,"RANGE",0.495,0.99,361,-2
29,"2025-10-16 15:October:38","2025-10-16 15:October:38","SHORT","SHORT_P9900_RESISTANCE_THIN_BID",1,25048.75,25007,41.75,"RANGE",0.495,0.99,402.75,0
30,"2025-10-16 16:October:40","2025-10-16 16:October:40","SHORT","SHORT_P9900_RESISTANCE_THIN_BID",0.9412,24820.5,24819.75,0.75,"RANGE",0.495,0.99,403.5,0
31,"2025-10-17 15:October:00","2025-10-17 15:October:00","SHORT","SHORT_P9900_RESISTANCE_THIN_BID",0.963,24736,24721.75,14.25,"TREND_UP",0.642,0.91,417.75,0
32,"2025-10-21 11:October:41","2025-10-21 11:October:39","SHORT","SHORT_P9900_RESISTANCE_THIN_BID",1,25298.5,25297,1.5,"VOL_COMPRESSION",0.045,0.41,419.25,0
33,"2025-10-21 16:October:17","2025-10-21 16:October:26","LONG","LONG_P9990_SUPPORT_THIN_OFFER",1,25342.75,25343.5,0.75,"VOL_COMPRESSION",0.045,0.41,420,0
34,"2025-10-22 13:October:53","2025-10-22 13:October:53","SHORT","SHORT_P9900_RESISTANCE_THIN_BID",0.9828,25200.75,25178,22.75,"RANGE",0.466,1.35,442.75,0
35,"2025-10-22 14:October:34","2025-10-22 14:October:35","LONG","LONG_P9900_SUPPORT_THIN_OFFER",0.9677,25267.75,25267,-0.75,"RANGE",0.466,1.35,442,-0.75
36,"2025-10-22 14:October:07","2025-10-22 14:October:04","SHORT","SHORT_P9900_RESISTANCE_THIN_BID",1,25101,25100.25,0.75,"RANGE",0.466,1.35,442.75,0
